Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,408670,10,40867.0,40223.5,39328,44736,1878.3,"void ninfer::ops::detail::nvfp4_small_t_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)6144, (int)5120>, (int)13, ninfer::ops::detail::Nvfp4SmallTSchedule<(int)16, (int)1, (int)2, (int)16, (int)13, (int)1, (ninfer::ops::detail::Nvfp4SmallTActivationAccess)1, (ninfer::ops::detail::Nvfp4ScaleAccess)1, (ninfer::ops::detail::Nvfp4CodeCache)0, (int)1, (ninfer::ops::detail::Nvfp4SmallTBlockOrder)0, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, (ninfer::ops::detail::Nvfp4SmallTFinalization)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, float, T4, T5)"
0.0,391324,110,3557.5,3871.5,1600,4544,845.3,"ninfer::ops::kv_cache_append_prefix_cyclic_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const int *, const int *, const int *, __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
0.0,383068,22,17412.2,20512.0,1632,20607,6756.8,"ninfer::ops::embed_gather_w8_kernel(const int *, const unsigned char *, const unsigned char *, __nv_bfloat16 *, int, int, int)"
0.0,289341,110,2630.4,2944.0,1023,3136,676.9,"void ninfer::ops::rmsnorm_d128_bf16x2_kernel<(ninfer::ops::RmsEpilogue)1, (int)128>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, long long, float)"
0.0,254524,110,2313.9,2496.0,1280,2656,442.4,"void ninfer::ops::rope_fixed_kernel<(ninfer::ops::RopeKernelMode)1, (int)0, (int)8>(const int *, ninfer::ops::RopeFrequencies, __nv_bfloat16 *, __nv_bfloat16 *, int, long long, long long)"
0.0,249116,352,707.7,704.0,640,896,32.1,"ninfer::ops::fill_i32_positions_kernel(int *, int, int)"
0.0,243806,6,40634.3,40799.5,39584,41280,689.3,"void ninfer::ops::detail::bf16_gemm_mma_kernel<ninfer::ops::detail::Bf16GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Bf16MmaSchedule<(int)32, (int)32, (int)256, (int)16, (int)8, (int)3, (int)1, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Bf16MmaFragmentPipeline)1, (ninfer::ops::detail::Bf16MmaRaster)0, (ninfer::ops::detail::Bf16MmaSwizzle)1, (int)1>, (bool)0, ninfer::ops::detail::<unnamed>::Bf16LinearAddMmaOutput>(const __nv_bfloat16 *, const __nv_bfloat16 *, T4, int)"
0.0,239487,146,1640.3,1632.0,1600,1856,32.3,"void ninfer::ops::add_bias_bf16x8_kernel<(int)256, (int)1>(const ninfer::ops::Bf16PairPack<(int)4> *, ninfer::ops::Bf16PairPack<(int)4> *, int, int)"
0.0,212670,2,106335.0,106335.0,17664,195006,125399.7,"void ninfer::ops::vision_pos_embed_add_d1152_kernel<(int)128>(const __nv_bfloat162 *, const int *, const float *, __nv_bfloat162 *, int)"
0.0,183390,2,91695.0,91695.0,91103,92287,837.2,"void ninfer::ops::detail::nvfp4_small_t_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)25600>, (int)13, ninfer::ops::detail::Nvfp4SmallTSchedule<(int)16, (int)1, (int)2, (int)16, (int)13, (int)1, (ninfer::ops::detail::Nvfp4SmallTActivationAccess)1, (ninfer::ops::detail::Nvfp4ScaleAccess)1, (ninfer::ops::detail::Nvfp4CodeCache)0, (int)1, (ninfer::ops::detail::Nvfp4SmallTBlockOrder)0, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, (ninfer::ops::detail::Nvfp4SmallTFinalization)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, float, T4, T5)"
0.0,183231,1,183231.0,183231.0,183231,183231,0.0,"void ninfer::ops::gelu_bf16x2_kernel<(bool)0, (int)256>(__nv_bfloat162 *, long long, __nv_bfloat16 *, bool)"
0.0,177312,22,8059.6,8720.0,3296,11200,2312.0,"void ninfer::ops::rmsnorm_cta_bf16x2_kernel<(ninfer::ops::RmsEpilogue)1, (int)512, (int)8>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.0,155264,96,1617.3,1632.0,1504,1888,80.4,"ninfer::ops::causal_conv1d_smallt_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.0,58144,22,2642.9,2640.0,2560,2720,51.9,"ninfer::ops::sampling_group_finalize_sample_kernel(int *, const ninfer::ops::SamplingConfig *, const int *, int, int, int, int, ninfer::ops::SamplingWorkspace)"
0.0,50272,22,2285.1,2224.0,2144,2720,145.0,"ninfer::ops::sampling_partial_topk_kernel(const __nv_bfloat16 *, const ninfer::ops::SamplingConfig *, int, int, ninfer::ops::SamplingWorkspace, const uint4 *, const int *, uint4 *, int)"
0.0,10880,1,10880.0,10880.0,10880,10880,0.0,"void ninfer::ops::gelu_bf16x8_kernel<(bool)0, (int)256>(ninfer::ops::Bf16PairPack<(int)4> *, long long)"
